,raw_text,new_line_break_count
24,"TECH
Musk Found Not Liable in Trial Over Tweets Proposing to Take Tesla Private

A jury rejected investor claims that Elon Musk violated federal securities law when he tweeted in 2018 about potentially taking Tesla private.

Rebecca Elliott and Meghan Bobrowsky

February 3, 2023 08:06 pm ET

Appeared in the Feb 04, 2023 , print edition as 'Musk Is Found Not Liable Over His 2018 Tesla Tweets'",9
25,"U.S. MARKETS
Stocks Slip After January Jobs Report

U.S. stocks ended down after a strong jobs report and disappointing results from Apple, Amazon and Alphabet.

Chelsey Dulaney and Gunjan Banerji

February 3, 2023 04:59 pm ET

Appeared in the Feb 04, 2023 , print edition as 'Stocks Drop On Jobs Data But Notch Weekly Gain'",9
26,"TECH
Jurors in Elon Musk Trial Over Tesla Tweets Begin Deliberating

Investors allege the CEO’s tweets about taking the electric-car maker private violated federal securities law.

Rebecca Elliott

February 3, 2023 04:43 pm ET",7
27,"Jurors in Elon Musk Trial Over Tesla Tweets Hear Closing Statements

February 3, 2023 02:18 pm ET",2
28,"AUTOS INDUSTRY
More EVs to Qualify for Tax Credit

The government announced changes Friday enabling more electric vehicles to qualify for a $7,500 tax credit.

Ryan Felton

February 3, 2023 01:09 pm ET",7
29,"AUTOS INDUSTRY
Ford Posts $1.3 Billion Profit in Fourth Quarter

Supply-chain disruptions slowed production at the car maker and caused it to miss its annual goal.

Nora Eckert

February 2, 2023 07:17 pm ET

Appeared in the Feb 03, 2023 , print edition as 'Ford Misses Earnings Guidance'",9
30,"U.S. MARKETS
Nasdaq Surges, Powered by Tech Gains

The Nasdaq jumped to its highest level in nearly five months, powered by a resurgence in big technology stocks and investors’ hopes that the Federal Reserve could pivot from hiking interest rates to cutting them later this year.

Caitlin McCabe and Alexander Osipovich

February 2, 2023 04:53 pm ET",7
31,"Options Trading Breaks Daily Record

Eric Wallerstein

February 2, 2023 04:31 pm ET",4
32,"Short Sellers Burned With Losses Topping $100 Billion in 2023

Jack Pitcher

February 2, 2023 01:00 pm ET",4
33,"SCIENCE OF SUCCESS
99% of Big Projects Fail. His Fix Starts With Legos.

An economist who spent decades studying ’megaprojects’ has some advice for getting them right: Think slow, act fast and build brick by tiny plastic brick.

Ben Cohen

February 2, 2023 05:30 am ET

Appeared in the Feb 04, 2023 , print edition as '99% of Big Projects Fail. Lego Is the Fix.'",9
34,"CFO JOURNAL
Standards Setter Floats New Rule on Crypto Accounting

The Financial Accounting Standards Board voted to propose a new rule on cryptocurrency accounting and disclosure, creating new guidance for companies holding these assets and providing more details to investors.

Mark Maurer

February 1, 2023 01:54 pm ET",7
35,"EARNINGS
GM’s Profit Soars as Supply-Chain Problems Ease

The auto maker said it is investing $650 million in a mining company to jointly develop a lithium-extraction project in Nevada.

Mike Colias

January 31, 2023 04:55 pm ET

Appeared in the Feb 01, 2023 , print edition as 'GM Profits as Supply Woes Ease'",9
36,"BUSINESS
Tesla Confirms Justice Department Request for Autopilot Documents

The electric-car maker is facing several probes related to its driver-assistance system.

Joseph De Avila and Rebecca Elliott

January 31, 2023 04:28 pm ET",7
37,"Justice Department Asks Tesla for Autopilot Documents

January 31, 2023 01:30 pm ET",2
38,"HEARD ON THE STREET
GM Drains the Dregs of the Pandemic Boom

General Motors’ annual results show a business on the cusp of radical change and uncertainty.

Stephen Wilmot

January 31, 2023 12:51 pm ET

Appeared in the Feb 01, 2023 , print edition as 'GM’s Business Straddles Past and Future'",9
39,"Cathie Wood’s Ark Innovation Fund on Pace for Best Month Since 2020

Hannah Miao

January 31, 2023 09:02 am ET",4
40,"Stocks to Watch: Exxon, General Motors, UPS and Spotify

Josh MitchellCaitlin McCabe

January 31, 2023 07:09 am ET",4
41,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

January 31, 2023 12:01 am ET

Appeared in the Jan 31, 2023 , print edition as 'What’s News: Business & Finance'",7
42,"AUTOS INDUSTRY
Tesla’s Big Price Cuts Spark Backlash

Tesla’s decision to slash prices on some vehicles has upset some customers, many of whom paid thousands of dollars more for their cars just weeks earlier.

Nora Eckert

January 30, 2023 05:02 pm ET",7
43,"BUSINESS
Ford Cuts Prices of EV Mustang Mach-E

The move came weeks after Tesla reduced prices on a number of its models. 

Will Feuer and Nora Eckert

January 30, 2023 05:01 pm ET

Appeared in the Jan 31, 2023 , print edition as 'EV Rivalry Heats Up as Ford Joins Tesla in Cutting Prices'",9
44,"EV Stocks Lose Ground After Ford, Tesla Price Cuts

Stephen Nakrosis

January 30, 2023 04:51 pm ET",4
45,"U.S. MARKETS
Stocks Slip as Investors Await Fed Meeting

The S&P 500 dropped 1.3% as investors geared up for another important week of corporate results, with earnings due from more than 100 members of the index.

Will Horner and Hardika Singh

January 30, 2023 04:49 pm ET

Appeared in the Jan 31, 2023 , print edition as 'Stocks Fall Ahead of Fed, Earnings'",9
46,"Earnings Tracker: Apple, Amazon, Alphabet and Meta Report This Week

January 30, 2023 01:28 pm ET",2
47,"Auto Stocks Fall After Ford Cuts Electric Mustang Prices

David Marino-Nachison

January 30, 2023 12:15 pm ET",4
48,"Lucid Stock's Surge Drives Frenzied Options Trading

Eric Wallerstein

January 30, 2023 10:30 am ET",4
49,"A Wild Ride Trading One-Day Tesla Options

Gunjan Banerji

January 30, 2023 09:02 am ET",4
50,"POLITICS
EPA’s $100 Billion Climate-Aid Windfall Spurs Turmoil

Community groups and tribes are criticizing Washington red tape, and conservatives are asking whether spending priorities are misplaced.

Eric Niiler

January 30, 2023 08:00 am ET

Appeared in the Jan 31, 2023 , print edition as 'Groups Jockey to Tap Climate Windfall'",9
51,"BUSINESS
TravelCenters of America Plans EV Fast-Charger Build-Out

The truck-stop and gasoline-filling company plans to join with Electrify America in the expansion.

Jennifer Hiller

January 30, 2023 07:00 am ET

Appeared in the Jan 31, 2023 , print edition as 'Truck-Stop Network to Add Fast Chargers'",9
52,"COMMENTARY
Opinion: Sadness and Static as AM Stations Fade

Space aliens, UFOs, the supernatural—all grist for radio shows.

Peter Funt

January 29, 2023 05:15 pm ET

Appeared in the Jan 30, 2023 , print edition as 'Sadness and Static as AM Stations Fade'",9
53,"BUSINESS
Toyota Rethinks EV Strategy With New CEO

The auto maker’s new boss will confront a question dividing the corporate world: whether to take gradual steps or big leaps ahead in the move to green technology.

River Davis

January 29, 2023 11:33 am ET

Appeared in the Jan 30, 2023 , print edition as 'Toyota Rethinks Electric Strategy'",9
54,"MARKETS
Short Sellers Feel Pain in Stock Market’s Rally

Highly shorted shares are racing past the S&P 500 this year, and short sellers are down by $81 billion.

Jack Pitcher and Akane Otani

January 29, 2023 05:30 am ET

Appeared in the Jan 30, 2023 , print edition as 'Short Sellers Feel the Pain In Stock Market’s 2023 Rally'",9
55,"A-HED
The ‘Menswear Guy’ May Be the Twitter Algorithm’s Favorite Person

Elon Musk’s Twitter is tinkering with recommendations, and a men’s fashion writer suddenly seems everywhere. He has no idea why.

Alexa Corse

January 28, 2023 02:15 pm ET",7
56,"BUSINESS
What CEOs Are Saying: ‘The Consumer Is Under Pressure’

Here’s what leaders from Nasdaq, Microsoft, Tesla and elsewhere said about the economy, inflation and other topics this week.

George Stahl

January 28, 2023 10:00 am ET",7
57,"EARNINGS
Amazon, Apple, Alphabet Headline Another Busy Earnings Week

Tech giants—as well as McDonald’s, Ford and Pfizer—are some of the companies reporting earnings in the week ahead, as layoffs continue and growth slows.

Sabela Ojea

January 28, 2023 08:26 am ET

Appeared in the Jan 30, 2023 , print edition as 'Amazon, Apple, Alphabet Headline Busy Earnings Week'",9
58,"MARKETS
Where Are Markets Headed? Five Investors Look Into Crystal Ball

Many say equities still look expensive after a promising start to 2023.

Caitlin McCabe, Gunjan Banerji and Justin Baer

January 28, 2023 05:30 am ET

Appeared in the Jan 30, 2023 , print edition as 'Five Investors on Their Plays for Markets in 2023'",9
59,"POLITICS
Musk Meets With White House Officials, Congressional Republicans

The visit by the CEO of Tesla and Twitter came amid deep interest on Capitol Hill in both electric-vehicle subsidies and social-media rules.  

Natalie Andrews and Alexa Corse

January 27, 2023 08:39 pm ET",7
60,"BUSINESS
3M, Salesforce, Tesla: Stocks That Defined the Week

Here are seven major companies whose stocks moved on the week’s news.

Francesca Fontana

January 27, 2023 06:19 pm ET",7
61,"STOCKS
Tesla Has Become One of the Hottest Stock-Option Trades on Wall Street

Traders have spent $700 billion on options tied to the electric-vehicle maker over the past 13 months.

Eric Wallerstein

January 27, 2023 05:03 pm ET

Appeared in the Jan 28, 2023 , print edition as 'Bulls and Bears Have Made Tesla One of the Hottest Stock Options'",9
62,"U.S. MARKETS
Stocks Finish Higher as Investors Weigh Latest Inflation Data

Corporate earnings continued to drive outsize moves, with Intel weakening.

Gunjan Banerji and Caitlin Ostroff

January 27, 2023 04:57 pm ET

Appeared in the Jan 28, 2023 , print edition as 'Major Indexes Post Strong Weekly Gains'",9
63,"A-HED
Guess Who’s Using Your Netflix Account? You Might Be Surprised.

Maybe you forgot to log out at a rental, or your ex’s sister is still enjoying ‘The Crown.’ A new tool on the streaming service shows where and when your account has been used—and lets you boot off the moochers.

Sarah Krouse

January 27, 2023 10:45 am ET

Appeared in the Jan 28, 2023 , print edition as 'Guess Who’s Using Your Netflix Account—You Might Be Surprised'",9
64,"Tesla's Biggest Options Bets Are Lottery-Ticket Trades

Eric Wallerstein

January 27, 2023 09:45 am ET",4
65,"Tesla Has Become One of the Hottest Stock-Option Trades on Wall Street

January 27, 2023 06:30 am ET",2
66,"HEARD ON THE STREET
Don’t Blame Covid for the Worker Shortage

The ranks of American workers are thinning—often because people aged out of the workforce, or never entered it. Their absence could impede the economy’s ability to grow, and make for a less prosperous future.

Justin Lahart

January 27, 2023 05:30 am ET

Appeared in the Jan 28, 2023 , print edition as 'Covid’s Not to Blame For Labor Shortage'",9
67,"AUTOS INDUSTRY
Tesla Stock Rallies On Optimistic Outlook From Elon Musk

Shares in the EV maker rose more than 8% after the company struck an upbeat tone about demand and its ability to navigate a potential economic downturn. 

Denny Jacob

January 26, 2023 06:49 pm ET

Appeared in the Jan 27, 2023 , print edition as 'Tesla Shares Rally on Musk Talk'",9
68,"U.S. MARKETS
Stocks Rise With Economic Data, Earnings in Focus

The S&P 500 climbed 1.1% as investors dug into a slate of economic-data releases. Tesla shares jumped 11%.

Will Horner and Hardika Singh

January 26, 2023 05:10 pm ET

Appeared in the Jan 27, 2023 , print edition as 'Stocks Jump After GDP Data, Earnings'",9
69,"The Tesla Frenzy Is Back

Gunjan Banerji

January 26, 2023 01:30 pm ET",4
70,"AUTOS INDUSTRY
Toyota CEO Akio Toyoda to Hand Control to Next Generation

The scion of the auto maker’s founding family will hand over the keys to Koji Sato, who has led Toyota’s Lexus division.

River Davis

January 26, 2023 10:57 am ET

Appeared in the Jan 27, 2023 , print edition as 'At Toyota, Changing Of Guard Promises New Path'",9
71,"HEARD ON THE STREET
Toyota Needs a New EV Road Map

New leadership could herald a welcome change in the Japanese company’s electric-vehicle strategy.

Stephen Wilmot

January 26, 2023 09:59 am ET

Appeared in the Jan 27, 2023 , print edition as 'Toyota Needs a New EV Road Map'",9
72,"HEARD ON THE STREET
Why Tesla Is Still Gunning for Growth

Elon Musk’s company might have little choice but to keep expanding as fast as possible even as a recession looms, given recent factory investments.

Stephen Wilmot

January 26, 2023 04:36 am ET",7
73,"Stock Market Today, Jan. 26, 2023: Indexes Finish Higher, Tesla Jumps; GDP Tops Forecasts

The Wall Street Journal's full markets coverage.

January 26, 2023 04:31 am ET",4
74,"Today's Coverage

January 26, 2023 04:31 am ET",2
75,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

January 26, 2023 12:06 am ET

Appeared in the Jan 26, 2023 , print edition as 'What’s News: Business & Finance'",7
76,"EARNINGS
Tesla Warns of Uncertainties as It Posts Record Profit

Elon Musk’s electric-car maker reported record quarterly profit for the final three months of 2022 and warned of an uncertain period ahead.

Rebecca Elliott

January 25, 2023 08:02 pm ET

Appeared in the Jan 26, 2023 , print edition as 'Musk Attempts To Calm Markets On Tesla'",9
77,"Elon Musk Sees Tesla Cybertruck Volume Production in 2024

Robert Wall

January 25, 2023 06:13 pm ET",4
78,"Tesla's 2023 Outlook: It's Complicated

WSJ Staff

January 25, 2023 04:56 pm ET",4
79,"U.S. MARKETS
S&P 500 Falls as Investors Focus on Earnings

Another busy day of earnings gave investors a fresh sense of how companies are coping with an economic slowdown and higher interest rates.

Caitlin McCabe and Justin Baer

January 25, 2023 04:47 pm ET

Appeared in the Jan 26, 2023 , print edition as 'Dow Ends Higher, but S&P, Nasdaq Fall'",9
80,"TECH
Elon Musk’s Tesla Tweets Trial: What We Learned From His Testimony

Five things to know about the CEO’s court statements regarding his ‘funding secured’ claim in a plan to take the electric-car maker private.

Rebecca Elliott and Meghan Bobrowsky

January 25, 2023 03:55 pm ET",7
81,"Tesla Stock Drops Ahead of Earnings

WSJ Staff

January 25, 2023 10:51 am ET",4
82,"Earnings Tracker: Results So Far This Week and What's On Deck

January 25, 2023 08:25 am ET",2
83,"FINANCE
Shift to Mined Graphite Raises Shortage Risk for EV, Battery Makers

Natural graphite is greener than synthetic, leading auto makers to turn to mines for the mineral.

Scott Patterson and Amrith Ramkumar

January 25, 2023 05:30 am ET

Appeared in the Jan 26, 2023 , print edition as 'Shift to Mined Graphite Increases Risk To Supply for EVs and Battery Makers'",9
84,"Stock Market Today, Jan. 25, 2023: Indexes Finish Mixed as Dow Edges Higher; Tesla Reports Earnings

The Wall Street Journal's full markets coverage.

January 25, 2023 04:22 am ET",4
85,"AUTOS INDUSTRY
Elon Musk Testifies in Tesla Tweets Trial That He Was Trying to Inform Investors

The electric-car maker’s chief executive said he tweeted about potentially taking Tesla private to share his thinking with shareholders.

Rebecca Elliott and Meghan Bobrowsky

January 24, 2023 07:10 pm ET

Appeared in the Jan 25, 2023 , print edition as 'Tesla Tweet Meant To Inform Investors, Musk Says at Trial'",9
86,"AUTOS INDUSTRY
Tesla Plans $3.6 Billion Factory Expansion in Nevada

The EV maker said it would keep growing its lithium-ion battery and electric-truck businesses and employ 3,000 additional workers. 

Sabela Ojea

January 24, 2023 07:06 pm ET

Appeared in the Jan 25, 2023 , print edition as 'EV Maker Eyes $3.6 Billion Expansion of Nevada Plant'",9
87,"BUSINESS
Ford in Talks to Sell German Plant to China’s BYD

A deal would mark a big step overseas for China’s electric-car industry.

William Boston

January 24, 2023 01:55 pm ET

Appeared in the Jan 25, 2023 , print edition as 'Ford Is in Talks to Sell Factory In Germany to China’s BYD'",9
88,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

January 24, 2023 12:01 am ET

Appeared in the Jan 24, 2023 , print edition as 'What’s News: Business & Finance'",7
89,"TECH
Elon Musk Testifies He Had Funding to Take Tesla Private

Investors said they lost money because of what Mr. Musk tweeted in 2018 about potentially taking the electric-car maker private.

Rebecca Elliott

January 23, 2023 07:34 pm ET

Appeared in the Jan 24, 2023 , print edition as 'Musk Says Tesla Buyout Plan Was Real'",9
90,"TECH
Microsoft to Invest Billions in ChatGPT Creator

The move is set to substantially bolster the software giant’s relationship with OpenAI, the startup behind the viral chatbot.

Berber Jin and Miles Kruppa

January 23, 2023 06:57 pm ET

Appeared in the Jan 24, 2023 , print edition as 'Microsoft To Invest Billions In AI Startup'",9
91,"AUTOS INDUSTRY
Rivian’s Chief Lobbyist Is Leaving the EV Startup

Jim Chen is departing the company, the latest high-level exit as the electric-vehicle startup works to scale up operations.

Sean McLain

January 23, 2023 04:50 pm ET

Appeared in the Jan 24, 2023 , print edition as 'Rivian’s Chief Lobbyist Is Latest to Depart EV Startup'",9
92,"U.S. MARKETS
Stocks Rise at Start of Busy Earnings Week

Investors are betting the Fed will dial back its interest-rate increases, and they are bracing for corporate earnings reports.

Joe Wallace and Hannah Miao

January 23, 2023 04:45 pm ET",7
93,"FINANCE
Tesla Is Still Wall Street’s Favorite Car Company

Many analysts say Tesla remains the most dominant player in the electric-car industry, despite its rough year. Nearly two-thirds of analysts are bullish, the highest share since 2014

Akane Otani

January 23, 2023 04:20 pm ET

Appeared in the Jan 24, 2023 , print edition as 'Tesla Is Still Loved by Wall Street'",9
94,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

January 23, 2023 12:01 am ET

Appeared in the Jan 23, 2023 , print edition as 'What’s News: Business & Finance'",7
95,"ETFS
The First ETF Launched 30 Years Ago, Revolutionizing Investing

The SPDR S&P 500 ETF Trust gave investors the ability to buy and sell hundreds of stocks through a single, publicly traded share for the first time. 

Jack Pitcher

January 22, 2023 08:00 am ET

Appeared in the Jan 23, 2023 , print edition as 'First ETF TransformedInvesting'",9
96,"FINANCE
Tesla Is Last Stronghold for Investors Buying the Dip in Tech Stocks

Individual investors’ net purchases of a basket of eight popular tech stocks hit a recent peak in November, before dropping sharply through the end of the year. Buying has picked up slightly in the new year.

Hannah Miao

January 22, 2023 06:00 am ET

Appeared in the Jan 23, 2023 , print edition as 'Tesla Is Last Bastion for Buying the Dip'",9
97,"AUTOS INDUSTRY
Tesla’s Price Cuts Put Pressure on Rivals

The electric-vehicle maker’s decision to reduce prices has reverberated through the industry.

Nora Eckert and Mike Colias

January 22, 2023 05:30 am ET

Appeared in the Jan 23, 2023 , print edition as 'Tesla’s Price Cuts Pressure Its Rivals'",9
98,"EARNINGS PREVIEW
Tesla, Microsoft Headlining Busy Earnings Week

Verizon and Southwest are among other companies expected to report as economists gauge the effect of higher interest rates.

Sabela Ojea

January 21, 2023 10:00 am ET

Appeared in the Jan 23, 2023 , print edition as 'Tesla, Microsoft Highlight Earnings Week'",9
99,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

January 21, 2023 12:01 am ET

Appeared in the Jan 21, 2023 , print edition as 'What’s News: Business & Finance'",7
100,"TECH
Elon Musk Flags Limitations of Tweets in Tesla Trial

The defense has called the Tesla CEO’s 2018 tweets about taking the car maker private imperfect shorthand.

Rebecca Elliott

January 20, 2023 07:04 pm ET

Appeared in the Jan 21, 2023 , print edition as 'Tesla Chief Tells Trial Jurors Tweets Aren’t Comprehensive'",9
101,"BUSINESS
Microsoft, Goldman Sachs, Netflix: Stocks That Defined the Week

Here are seven major companies whose stocks moved on the week’s news

Francesca Fontana

January 20, 2023 05:55 pm ET",7
102,"U.S.
FTC Wants ‘Pharma Bro’ Martin Shkreli to Be Held in Contempt

The agency said he hasn’t cooperated with an investigation into a potential violation of his ban from the pharmaceutical industry.

Talal Ansari

January 20, 2023 05:37 pm ET",7
103,"AUTOS INDUSTRY
GM, LG Scrap Plans to Partner on Fourth Factory

A U.S. battery-cell factory that had been in the works between General Motors and LG Energy Solution has been shelved indefinitely.

Mike Colias and River Davis

January 20, 2023 02:12 pm ET

Appeared in the Jan 21, 2023 , print edition as 'GM, LG Freeze Plans For a Battery Factory'",9
104,"HEARD ON THE STREET
Tesla’s Price Cuts Are Good for Lithium

To follow the money in one of today’s hottest commodity markets, investors should look at company results rather than headline prices.

Stephen Wilmot

January 20, 2023 11:30 am ET

Appeared in the Jan 23, 2023 , print edition as 'Tesla’s Price Cuts Are Good for Lithium'",9
105,"FINANCIAL REGULATION
Elon Musk Sold Tesla Shares Before Company Acknowledged Weakness

The timing of the CEO’s sale of nearly $3.6 billion in stock last month raises a crucial question: Did he know that business had slowed when he sold his shares?

Jonathan Weil

January 20, 2023 11:21 am ET

Appeared in the Jan 21, 2023 , print edition as 'Musk Sold Tesla Stock Ahead of Sales News'",9
106,"PERSONAL FINANCE
What to Expect for Tax Season 2023

As tax season opens, filers are facing expired Covid tax breaks, abrupt tweaks to energy tax incentives and a delay meaningful for gig-economy workers. 

Ashlea Ebeling

January 20, 2023 10:16 am ET

Appeared in the Jan 21, 2023 , print edition as 'This Tax Season, Expect Smaller Refunds, Fewer Delays'",9
107,"RUMBLE SEAT
Mercedes-Benz’s EQB: A Crossover Aimed at Tesla’s Model Y

The premium version of the company’s all-electric EQB is comfortable, versatile and fun to drive. Dan Neil evaluates this little charmer against the competition.

Dan Neil

January 19, 2023 05:55 pm ET

Appeared in the Jan 21, 2023 , print edition as 'An Adorable Blockhead Vies For All-Electric Eminence'",9
108,"Tesla Stock Edges Lower; Live WSJ Conversation About the Shares Friday

WSJ Staff

January 19, 2023 04:44 pm ET",4
109,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

January 19, 2023 12:01 am ET

Appeared in the Jan 19, 2023 , print edition as 'What’s News: Business & Finance'",7
110,"REVIEW & OUTLOOK
Opinion: When Pay Transparency Is Opaque

New state laws to promote pay ‘equity’ produce job postings with ridiculous salary ranges.

The Editorial Board

January 18, 2023 06:45 pm ET

Appeared in the Jan 19, 2023 , print edition as 'When Pay Transparency Is Opaque'",9
111,"TECH
Musk Trial Opens to Debate Over Nature of Tesla Tweets

The shareholder lawsuit stems from 2018 tweets in which the billionaire CEO said, “Am considering taking Tesla private at $420. Funding secured.”

Rebecca Elliott and Meghan Bobrowsky

January 18, 2023 05:28 pm ET

Appeared in the Jan 19, 2023 , print edition as 'Trial Puts Musk’s Tesla Tweets in Spotlight'",9
112,"Stocks to Watch: Moderna, United Airlines, PNC, Tesla

Patricia Kowsmann

January 18, 2023 08:00 am ET",4
113,"Global Battery Alliance Creates Digital Passport to Enhance Battery Transparency

William Boston

January 18, 2023 04:06 am ET",4
